Common Name,Species,Year,Region,Latitude,Longitude,Depth
Guachanche barracuda,Sphyraena guachancho,1996,Gulf of Mexico,28.6050580532984,-92.5751277434731,61.9486717124963
Guachanche barracuda,Sphyraena guachancho,1997,Gulf of Mexico,28.4966080820722,-93.9881903278331,58.7714605280159
Guachanche barracuda,Sphyraena guachancho,1998,Gulf of Mexico,29.0931372939838,-91.7058120154911,56.7431302724781
Guachanche barracuda,Sphyraena guachancho,1999,Gulf of Mexico,28.9003645344868,-93.5694053016127,42.4680529033866
Guachanche barracuda,Sphyraena guachancho,2000,Gulf of Mexico,28.0189274188185,-95.0661464054933,60.0579211789026
Guachanche barracuda,Sphyraena guachancho,2001,Gulf of Mexico,28.5450659647747,-92.670994693236,76.1479207534023
Guachanche barracuda,Sphyraena guachancho,2002,Gulf of Mexico,28.3294376514449,-94.1381416912677,59.617132256521
Guachanche barracuda,Sphyraena guachancho,2003,Gulf of Mexico,28.989811133527,-90.6862498682575,56.9966029475117
Guachanche barracuda,Sphyraena guachancho,2004,Gulf of Mexico,28.7148133948301,-92.4231845594059,64.1383263911837
Guachanche barracuda,Sphyraena guachancho,2005,Gulf of Mexico,28.938824857869,-91.5314080588921,54.4820023733361
Guachanche barracuda,Sphyraena guachancho,2006,Gulf of Mexico,28.8272198837086,-92.7839847879001,54.4922088772026
Guachanche barracuda,Sphyraena guachancho,2007,Gulf of Mexico,28.283649640821,-95.025325726771,61.3663605962355
Guachanche barracuda,Sphyraena guachancho,2008,Gulf of Mexico,28.6761434279781,-92.0045474672178,61.7918841421446
Guachanche barracuda,Sphyraena guachancho,2009,Gulf of Mexico,28.723889470323,-93.1099990092417,67.6988323512114
Guachanche barracuda,Sphyraena guachancho,2010,Gulf of Mexico,28.50715980515,-94.1454410230987,63.6218501955762
Guachanche barracuda,Sphyraena guachancho,2011,Gulf of Mexico,28.5884203716763,-94.2597628242957,60.5367246349433
Guachanche barracuda,Sphyraena guachancho,2012,Gulf of Mexico,28.4268130024268,-94.9770211352753,49.4610217693374
Guachanche barracuda,Sphyraena guachancho,2013,Gulf of Mexico,28.4393548102445,-94.5992471772839,68.4125727995882
Guachanche barracuda,Sphyraena guachancho,2014,Gulf of Mexico,28.6256534361436,-93.4457484256963,61.5599486984926
Guachanche barracuda,Sphyraena guachancho,2015,Gulf of Mexico,29.0485802616454,-90.9992105415474,54.7168589886313
Guachanche barracuda,Sphyraena guachancho,2016,Gulf of Mexico,28.3096908507116,-95.0249651768475,54.4334207000501
Guachanche barracuda,Sphyraena guachancho,2017,Gulf of Mexico,28.5386242470881,-93.9654298149034,69.7761865549026
Guachanche barracuda,Sphyraena guachancho,2018,Gulf of Mexico,28.039567501143,-92.3323203351367,96.919486215846
Guachanche barracuda,Sphyraena guachancho,2019,Gulf of Mexico,26.514893902439,-96.5849463414634,132.767311609756
American lobster,Homarus americanus,1971,Maritimes Summer,43.6478229892265,-61.4199989068177,115.71078389437
American lobster,Homarus americanus,1972,Maritimes Summer,43.366380005672,-65.8257047701253,157.564961450704
American lobster,Homarus americanus,1973,Maritimes Summer,43.2098829137148,-64.1286224992509,137.883772884341
American lobster,Homarus americanus,1974,Maritimes Summer,45.0475686505661,-66.1303054148303,69.5338962490178
American lobster,Homarus americanus,1974,Northeast US Fall,41.2772761752566,-68.951130723206,92.4822427330703
American lobster,Homarus americanus,1974,Northeast US Spring,41.3604233569072,-69.3603988112005,160.726816262191
American lobster,Homarus americanus,1975,Maritimes Summer,43.021190283568,-66.0473036808499,132.408227376912
American lobster,Homarus americanus,1975,Northeast US Fall,41.1262088121089,-69.3214668215195,102.130817643901
American lobster,Homarus americanus,1976,Maritimes Summer,,,
American lobster,Homarus americanus,1976,Northeast US Fall,41.4050243445346,-68.747814201196,116.798728291547
American lobster,Homarus americanus,1976,Northeast US Spring,41.5361913997282,-68.9023731884469,130.725795376645
American lobster,Homarus americanus,1977,Maritimes Summer,43.7303262798509,-63.5094367509053,131.919045033296
American lobster,Homarus americanus,1977,Northeast US Fall,41.5263888124083,-68.7909099691783,112.758744562805
American lobster,Homarus americanus,1977,Northeast US Spring,41.536291340573,-68.986974311119,150.466029196963
American lobster,Homarus americanus,1978,Maritimes Summer,42.8605616812163,-65.5102765135299,128.503181573058
American lobster,Homarus americanus,1978,Northeast US Fall,41.4264191700623,-68.7406949593815,124.052170716283
American lobster,Homarus americanus,1978,Northeast US Spring,41.3844928555489,-69.3453940792395,150.15310868996
American lobster,Homarus americanus,1979,Maritimes Summer,43.1183876028439,-65.9001301465268,152.116652448244
American lobster,Homarus americanus,1979,Northeast US Fall,41.4321414199797,-68.4476481381071,112.446087021689
American lobster,Homarus americanus,1979,Northeast US Spring,41.5501676468358,-68.2860595064473,122.303533354467
American lobster,Homarus americanus,1980,Maritimes Summer,43.8107840046547,-65.2324182469,187.871514581337
American lobster,Homarus americanus,1980,Northeast US Fall,41.5659159730084,-68.2258574990148,114.085241798082
American lobster,Homarus americanus,1980,Northeast US Spring,41.2857840946118,-69.1498086766007,129.49187484757
American lobster,Homarus americanus,1981,Maritimes Summer,44.0564067911363,-66.4014921078216,116.294019781812
American lobster,Homarus americanus,1981,Northeast US Fall,41.0001471791122,-69.3362861311311,89.1491894494998
